State,District,Date,Year,Month,Avg_rainfall,Agency_name,source_file
Tamil Nadu,Villupuram,2021-06-12,2021,6,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-06-23,2021,6,0.002624513,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-06-30,2021,6,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-07-04,2021,7,4.751451856,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-07-07,2021,7,0.158894603,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-07-11,2021,7,0.409004077,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-07-12,2021,7,0.156805171,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-07-17,2021,7,36.59979847,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-07-19,2021,7,0.314056321,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-07-20,2021,7,0.101779834,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-07-28,2021,7,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-08-08,2021,8,0.259095544,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-08-12,2021,8,11.1768167,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-08-13,2021,8,9.354085391,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-08-14,2021,8,1.485816751,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-08-22,2021,8,14.1290423,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-09-02,2021,9,1.162925642,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-09-03,2021,9,9.70692728,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-09-06,2021,9,14.01350145,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-09-08,2021,9,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-09-20,2021,9,5.802575742,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-10-02,2021,10,13.55927087,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-10-14,2021,10,7.735148368,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-10-15,2021,10,7.761952119,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-10-22,2021,10,9.289940056,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-10-24,2021,10,0.433213473,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-10-26,2021,10,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-10-30,2021,10,86.49977135,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-10-31,2021,10,2.736535117,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-11-04,2021,11,11.3301205,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-11-05,2021,11,0.042518374,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-11-06,2021,11,7.416392511,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-11-16,2021,11,0.229448742,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-11-18,2021,11,19.58896437,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-11-21,2021,11,38.92726296,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-11-28,2021,11,25.58201542,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-12-02,2021,12,0.23986413,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-12-04,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-12-08,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-12-10,2021,12,1.569565991,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-12-11,2021,12,0.001050946,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-12-17,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Villupuram,2021-12-27,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-01-01,2021,1,20.56319303,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-01-20,2021,1,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-01-22,2021,1,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-02-14,2021,2,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-03-02,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-03-09,2021,3,0.003890317,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-03-11,2021,3,8.468793028,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-03-13,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-03-16,2021,3,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-03-28,2021,3,0.308963983,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-04-07,2021,4,0.085689684,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-04-12,2021,4,3.840919296,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-04-25,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-04-28,2021,4,0.551571141,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-04-30,2021,4,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-05-01,2021,5,0.006974051,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-05-08,2021,5,7.688916598,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-05-09,2021,5,3.861573924,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-05-10,2021,5,6.210983355,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-05-15,2021,5,0.908648809,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-05-14,2021,5,10.64453366,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-05-18,2021,5,0.050859035,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-05-19,2021,5,0.34606887,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-05-27,2021,5,0.899104108,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-06-03,2021,6,2.887568753,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-06-10,2021,6,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-06-12,2021,6,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-06-17,2021,6,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-06-19,2021,6,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-06-30,2021,6,3.570852398,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-07-02,2021,7,2.452582604,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-07-04,2021,7,2.236740497,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-07-21,2021,7,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-07-26,2021,7,1.000062636,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-08-11,2021,8,1.680835313,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-08-19,2021,8,0.381069821,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-08-26,2021,8,4.175972872,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-08-27,2021,8,0.001414661,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-09-08,2021,9,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-09-14,2021,9,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-09-18,2021,9,2.001985094,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-09-22,2021,9,0.1223475,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-09-26,2021,9,1.254111163,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-09-28,2021,9,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-10-09,2021,10,3.78179492,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-10-15,2021,10,1.954741664,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-10-16,2021,10,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-10-20,2021,10,0.668616869,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-10-21,2021,10,13.16432746,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-10-22,2021,10,6.783669095,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-10-31,2021,10,11.08817798,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-11-03,2021,11,21.80023432,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-11-04,2021,11,0.250294486,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-11-13,2021,11,0.055727301,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-11-14,2021,11,0.524840604,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-11-18,2021,11,46.07710077,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-11-20,2021,11,5.356659172,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-11-27,2021,11,0.113444453,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-12-02,2021,12,1.399973194,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-12-04,2021,12,5.593775982,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-12-16,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-12-24,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-12-28,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Virudhunagar,2021-12-30,2021,12,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-01-05,2021,1,4.186597223,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-01-07,2021,1,58.12417668,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-01-18,2021,1,0.254344701,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-01-20,2021,1,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-01-21,2021,1,0.41331014,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-01-22,2021,1,0.0,IMD GRID MODEL,2021.csv
Tamil Nadu,Ariyalur,2021-01-29,2021,1,0.0,IMD GRID MODEL,2021.csv
